No,Species,Light,Microbe,Adult,Bench,Harvest,Time,Event,AMFCount,AMFIntersections,AMF,Phenolics,NSC,Lignin,AMF_Imp,PHN_Imp,NSC_Imp,LIG_Imp
1217,Acru,High,Control,NA,4,3,21,0,NA,NA,NA,NA,7.85,NA,65.04,0.5,14.5,12.46
1240,Acne,High,Control,NA,4,6,42,0,NA,NA,NA,NA,12.97,NA,32,0.37,12.37,6.34
1242,Acsa,High,Control,NA,4,9,63,0,NA,NA,NA,NA,16.27,NA,50.45,0.29,12.66,7.71
1252,Acne,High,Control,NA,4,9,63,0,NA,NA,NA,NA,12.92,NA,87.11,0.45,18.03,8.44
1254,Acru,High,Control,NA,4,6,42,0,NA,NA,NA,NA,6,NA,51,0.14,10.49,10.76
1262,Acsa,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,83.04,0.4,14.75,7.84
1264,Acne,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,50.65,0.4,14.27,8.27
1265,Acru,High,Control,NA,4,9,63,0,NA,NA,NA,NA,13.75,NA,100,0.31,14.26,8.17
1268,Acne,High,Control,NA,4,3,21,0,2,100,2,0.54,NA,4.56,50.78,0.03,8.73,8.58
1273,Acne,High,Control,NA,4,6,42,0,0,100,0,0.18,NA,5.93,87.11,0.45,17.75,8.44
1276,Acsa,High,Control,NA,4,3,21,0,0,100,0,0.23,NA,10.17,52.72,0.28,12.54,7.77
1278,Acne,High,Control,NA,4,9,63,0,0,100,0,0.31,NA,4.9,83.04,0.4,14.75,7.84
1279,Acsa,High,Control,NA,4,6,42,0,0,100,0,0.25,NA,12.83,44.65,0.16,10.61,7.86
1282,Acsa,High,Control,NA,4,9,63,0,0,100,0,0.49,NA,10.56,87.11,0.45,17.11,8.27
1283,Acru,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,71,0.06,9.23,7.42
1287,Acru,High,Control,NA,4,3,21,0,NA,NA,NA,NA,NA,NA,25,0.23,11.91,9.65
1290,Acru,High,Control,NA,4,6,42,0,0,100,0,0.22,NA,6.34,64.6,0.47,14.3,12.69
1296,Acne,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,66.25,0.04,8.75,10.56
1304,Acsa,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,51,0.19,11.21,5.69
1309,Acru,High,Control,NA,4,9,63,0,0,100,0,0.32,NA,9.52,38.01,0.2,11.29,6.22
1329,Acne,High,Control,NA,4,3,21,0,NA,NA,NA,NA,15.03,NA,63.81,0.3,12.63,11.82
1331,Acsa,High,Control,NA,4,3,21,0,NA,NA,NA,NA,8.45,NA,36.89,0.18,11.13,6.38
1332,Acne,High,Control,NA,4,6,42,0,NA,NA,NA,NA,14.26,NA,83.04,0.4,14.75,7.84
1354,Acne,High,Control,NA,4,9,63,0,NA,NA,NA,NA,12.73,NA,63.99,0.26,11.85,12.59
1363,Acru,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,38.01,0.2,11.29,6.22
1369,Acsa,High,Control,NA,4,6,42,0,NA,NA,NA,NA,9.6,NA,38.01,0.2,11.29,6.22
1371,Acru,High,Control,NA,4,3,21,0,NA,NA,NA,NA,11.57,NA,50,0.29,12.55,8.12
1374,Acsa,High,Control,NA,4,9,63,0,NA,NA,NA,NA,13.04,NA,78.56,0.44,14.1,7.46
1379,Acru,High,Control,NA,4,6,42,0,NA,NA,NA,NA,12.41,NA,74.75,0.11,10.24,11.73
1386,Acru,High,Control,NA,4,9,63,0,NA,NA,NA,NA,16.69,NA,28,0.07,9.43,5.82
1387,Acne,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,78.44,0.51,18.32,13.82
1392,Acru,High,Control,NA,4,NA,47,1,NA,NA,NA,NA,NA,NA,77.32,0.48,16.11,14.77
1395,Acru,High,Control,NA,4,3,21,0,0,100,0,0.18,NA,6.12,50.67,0.27,12.43,7.71
1401,Acru,High,Control,NA,4,6,42,0,0,100,0,0.14,NA,5.74,65.16,0,8.35,5.65
1412,Acru,High,Control,NA,4,9,63,0,0,100,0,0.2,NA,7.09,80,0.49,14.53,6.26
1418,Acru,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,39.69,0.16,10.77,6.76
1420,Acru,High,Control,NA,4,3,21,0,NA,NA,NA,NA,6.59,NA,85,0.28,14.21,10.47
1427,Acne,High,Control,NA,4,3,21,0,0,100,0,0.22,NA,6.3,83,0.18,13.68,8.97
1433,Acru,High,Control,NA,4,6,42,0,NA,NA,NA,NA,6.07,NA,77,0.43,14.82,12.21
1444,Acsa,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,83.04,0.4,14.75,7.84
1449,Acne,High,Control,NA,4,6,42,0,0,100,0,0.37,NA,6.09,45.95,0.14,10.36,7.34
1459,Acsa,High,Control,NA,4,3,21,0,0,100,0,-0.12,NA,10.99,70,-0.05,8.43,7.8
1462,Acsa,High,Control,NA,4,6,42,0,0,100,0,0.05,NA,13.37,83.04,0.4,14.75,7.84
1466,Acru,High,Control,NA,4,9,63,0,NA,NA,NA,NA,10.54,NA,87.11,0.45,17.66,8.44
1473,Acsa,High,Control,NA,4,9,63,0,0,100,0,0.25,NA,12.5,67,0.15,11.01,7.29
1474,Acru,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,38.01,0.2,11.29,6.22
1475,Acne,High,Control,NA,4,9,63,0,0,100,0,0.43,NA,4.24,79,0.47,16.24,12.31
1477,Acru,High,Control,NA,4,3,21,0,0,100,0,0.05,NA,4.58,78.44,0.51,18.32,13.82
1482,Acsa,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,36.96,0.25,11.94,8.93
1483,Acne,High,Control,NA,4,NA,54,1,NA,NA,NA,NA,NA,NA,63,0.6,15.21,13.54
1487,Acsa,High,Control,NA,4,3,21,0,NA,NA,NA,NA,9.66,NA,78.44,0.51,18.51,13.82
1489,Acru,High,Control,NA,4,6,42,0,NA,NA,NA,NA,NA,NA,83,0.23,12.25,6.13
1492,Acsa,High,Control,NA,4,6,42,0,NA,NA,NA,NA,15.25,NA,78.44,0.51,18.32,13.82
1496,Acru,High,Control,NA,4,9,63,0,0,100,0,0.13,NA,8.22,85.62,0.21,12.9,7.53
1500,Acru,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,78.26,0.51,16.27,12.99
1501,Acru,High,Control,NA,4,3,21,0,NA,NA,NA,NA,10.25,NA,77.5,0.5,16.01,13.57
1505,Acne,High,Control,NA,4,3,21,0,NA,NA,NA,NA,16,NA,76.76,0.46,15.58,12.54
1507,Acru,High,Control,NA,4,6,42,0,NA,NA,NA,NA,14.38,NA,85.05,0.2,12.96,7.68
1509,Acsa,High,Control,NA,4,9,63,0,NA,NA,NA,NA,16.5,NA,83.04,0.4,14.75,7.84
1516,Acru,High,Control,NA,4,9,63,0,NA,NA,NA,NA,19.07,NA,78.44,0.51,17.48,13.69
1522,Acsa,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,78.44,0.51,18.32,13.82
1524,Acne,High,Control,NA,4,6,42,0,NA,NA,NA,NA,13.51,NA,93,0.15,12.46,7.59
1530,Acsa,High,Control,NA,4,3,21,0,0,100,0,0.24,NA,9.31,62.11,0.52,15.12,12.93
1531,Acru,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,83,0.49,17.82,14.35
1539,Acru,High,Control,NA,4,3,21,0,0,75,0,0.04,NA,5.3,61,0.3,12.47,9.96
1544,Acru,High,Control,NA,4,6,42,0,0,100,0,0.06,NA,5.79,60,0.34,13.8,16.2
1547,Acsa,High,Control,NA,4,6,42,0,0,100,0,0.15,NA,13.88,76,0.25,11.72,5.58
1548,Acru,High,Control,NA,4,9,63,0,0,100,0,-0.04,NA,10.19,43,0.1,9.73,8.08
1563,Acru,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,49.19,0.05,9.02,8.43
1565,Acsa,High,Control,NA,4,9,63,0,0,100,0,0.12,NA,11.47,83.04,0.4,14.75,7.84
1567,Acsa,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,45,0.07,9.14,8.49
1573,Acsa,High,Control,NA,4,3,21,0,NA,NA,NA,NA,12.8,NA,85,0.21,12.9,7.43
1575,Acsa,High,Control,NA,4,6,42,0,NA,NA,NA,NA,10.89,NA,85.62,0.43,15.67,7.94
1577,Acne,High,Control,NA,4,9,63,0,NA,NA,NA,NA,12.56,NA,51.41,0.4,14.07,7.73
1580,Acsa,High,Control,NA,4,9,63,0,NA,NA,NA,NA,15.64,NA,38,0.07,9.33,3.27
1587,Acru,High,Control,NA,4,3,21,0,NA,NA,NA,NA,12.87,NA,78.43,0.51,16.85,13.16
1598,Acne,High,Control,NA,4,NA,63,1,NA,NA,NA,NA,NA,NA,45.29,0.15,10.5,7.71
1605,Acru,High,Control,NA,5,6,42,0,NA,NA,NA,NA,10.2,NA,75,0.35,12.33,4.56
1612,Acsa,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,77.7,0.48,15.77,13.67
1616,Acne,High,Control,NA,5,3,21,0,0,100,0,0.24,NA,3.85,86.48,0.45,16.64,8.19
1617,Acne,High,Control,NA,5,6,42,0,0,100,0,0.39,NA,3.57,83.04,0.4,14.75,7.84
1621,Acsa,High,Control,NA,5,3,21,0,0,100,0,-0.02,NA,7.7,50,-0.02,7.81,8.22
1635,Acne,High,Control,NA,5,9,63,0,0,100,0,0.32,NA,5.54,78.44,0.51,18.32,13.82
1642,Acru,High,Control,NA,5,9,63,0,NA,NA,NA,NA,6.76,NA,78.44,0.51,18.32,13.82
1644,Acsa,High,Control,NA,5,6,42,0,0,100,0,0.29,NA,10.9,80,0.26,13.61,9.56
1650,Acne,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,38.01,0.2,11.29,6.22
1655,Acne,High,Control,NA,5,3,21,0,NA,NA,NA,NA,12.69,NA,84.66,0.47,16.17,8.04
1656,Acne,High,Control,NA,5,6,42,0,NA,NA,NA,NA,12.54,NA,83.04,0.4,14.75,7.84
1658,Acsa,High,Control,NA,5,9,63,0,0,100,0,-0.04,NA,13.02,66,0.05,8.81,6.07
1660,Acsa,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,38.01,0.2,11.29,6.22
1662,Acsa,High,Control,NA,5,3,21,0,NA,NA,NA,NA,9.07,NA,84,0.34,13.33,7.61
1678,Acsa,High,Control,NA,5,6,42,0,NA,NA,NA,NA,17.75,NA,86,0.57,19.54,8.81
1685,Acne,High,Control,NA,5,9,63,0,NA,NA,NA,NA,11.41,NA,37,0.2,11.15,5.08
1690,Acsa,High,Control,NA,5,9,63,0,NA,NA,NA,NA,11.59,NA,96,0.33,14.36,8.17
1694,Acne,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,38.01,0.2,11.29,6.22
1697,Acsa,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,81,0.29,14.47,9.08
1705,Acru,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,84.47,0.46,15.79,8
1708,Acsa,High,Control,NA,5,3,21,0,3,100,3,0.15,NA,7.58,83.04,0.4,14.75,7.84
1712,Acsa,High,Control,NA,5,6,42,0,0,100,0,0.26,NA,7.34,38.62,0.21,11.48,6.54
1715,Acru,High,Control,NA,5,3,21,0,0,97,0,0.11,NA,5.07,39,0.11,9.82,7.68
1720,Acsa,High,Control,NA,5,9,63,0,0,91,0,0.26,NA,10.8,84.12,0.33,13.61,8.27
1727,Acsa,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,87.11,0.45,18.12,8.46
1729,Acsa,High,Control,NA,5,3,21,0,NA,NA,NA,NA,10.02,NA,78.44,0.51,18.32,13.82
1733,Acsa,High,Control,NA,5,6,42,0,NA,NA,NA,NA,16.07,NA,78.44,0.51,17.46,13.69
1734,Acne,High,Control,NA,5,3,21,0,1,100,1,0.08,NA,5.68,83.04,0.4,14.75,7.84
1738,Acne,High,Control,NA,5,6,42,0,0,100,0,0.38,NA,5.94,85.19,0.2,12.93,7.63
1752,Acne,High,Control,NA,5,9,63,0,0,100,0,0.16,NA,5.17,70,0.13,11.16,13.6
1757,Acne,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,84.12,0.33,13.61,8.27
1764,Acsa,High,Control,NA,5,9,63,0,NA,NA,NA,NA,7.24,NA,38.01,0.2,11.29,6.22
1766,Acsa,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,78.44,0.51,18.32,13.82
1770,Acne,High,Control,NA,5,3,21,0,NA,NA,NA,NA,12.27,NA,69.99,0.22,11.54,6.08
1773,Acsa,High,Control,NA,5,3,21,0,0,100,0,0.36,NA,8.69,64,0.66,15.03,9.45
1780,Acne,High,Control,NA,5,6,42,0,NA,NA,NA,NA,11.03,NA,50.67,0.25,12.21,7.67
1781,Acne,High,Control,NA,5,9,63,0,NA,NA,NA,NA,11.4,NA,34,0.19,11.25,6.23
1788,Acne,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,50.27,0.25,12.1,7.75
1795,Acsa,High,Control,NA,5,6,42,0,0,100,0,0.14,NA,13.09,75,0.53,15.03,9.82
1796,Acne,High,Control,NA,5,3,21,0,0,100,0,0.38,NA,3.11,63.86,0.04,8.64,11.06
1806,Acsa,High,Control,NA,5,9,63,0,0,100,0,0.16,NA,11.92,83.04,0.4,14.75,7.84
1809,Acne,High,Control,NA,5,6,42,0,0,100,0,0.3,NA,5.94,45,0.04,9.15,6.28
1813,Acne,High,Control,NA,5,9,63,0,0,100,0,0.25,NA,5.96,85.17,0.46,16.15,8.04
1815,Acsa,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,83.33,0.39,15.1,8.74
1818,Acsa,High,Control,NA,5,3,21,0,NA,NA,NA,NA,9.36,NA,38.01,0.2,11.29,6.22
1823,Acne,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,78.44,0.51,19.22,13.74
1842,Acne,High,Control,NA,5,3,21,0,NA,NA,NA,NA,13.89,NA,51.15,0.4,14.08,7.74
1843,Acsa,High,Control,NA,5,6,42,0,NA,NA,NA,NA,10.56,NA,66.05,0.43,14.01,12.88
1851,Acru,High,Control,NA,5,6,42,0,0,70,0,0.35,NA,6.68,38.01,0.2,11.29,6.22
1852,Acru,High,Control,NA,5,9,63,0,0,100,0,0.17,NA,6.28,79,0.06,11.94,13.3
1856,Acne,High,Control,NA,5,6,42,0,NA,NA,NA,NA,13.47,NA,75,0.23,11.55,5.19
1857,Acne,High,Control,NA,5,9,63,0,NA,NA,NA,NA,14.31,NA,77.63,0.5,16.17,13.66
1864,Acne,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,81,0.18,13.48,8.98
1869,Acsa,High,Control,NA,5,9,63,0,NA,NA,NA,NA,13.96,NA,42.63,0.24,11.84,7.74
1872,Acsa,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,78.44,0.51,18.32,13.82
1880,Acsa,High,Control,NA,5,3,21,0,0,100,0,0.14,NA,11.04,72,0.24,11.86,7.79
1883,Acru,High,Control,NA,5,NA,32,1,NA,NA,NA,NA,NA,NA,38.01,0.2,11.29,6.22
1884,Acsa,High,Control,NA,5,6,42,0,0,100,0,0.33,NA,12.76,65.98,0.43,14,12.81
1885,Acru,High,Control,NA,5,3,21,0,NA,NA,NA,NA,5.83,NA,78.44,0.51,18.32,13.82
1896,Acru,High,Control,NA,5,6,42,0,NA,NA,NA,NA,8.64,NA,38.01,0.2,11.29,6.22
1908,Acru,High,Control,NA,5,9,63,0,NA,NA,NA,NA,10.61,NA,84.31,0.44,15.48,7.9
1909,Acru,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,90,0.15,13.05,7.84
1915,Acne,High,Control,NA,5,3,21,0,0,100,0,0.33,NA,3.9,26.97,0.14,11.04,7.92
1918,Acsa,High,Control,NA,5,9,63,0,0,100,0,0.27,NA,10.38,30.23,0.15,11.01,5.8
1921,Acne,High,Control,NA,5,6,42,0,0,100,0,0.22,NA,5.55,46,-0.01,8.36,10.78
1922,Acsa,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,66.48,0.36,13.3,12.43
1933,Acne,High,Control,NA,5,9,63,0,2,100,2,0.32,NA,5.31,78.44,0.51,18.32,13.82
1935,Acne,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,52.3,0.25,12.01,7.77
1946,Acsa,High,Control,NA,5,3,21,0,NA,NA,NA,NA,13.66,NA,50.33,0.34,13.18,7.95
1951,Acne,High,Control,NA,5,3,21,0,NA,NA,NA,NA,17.58,NA,69,0.31,13.68,16.33
1957,Acne,High,Control,NA,5,6,42,0,NA,NA,NA,NA,15.39,NA,78.44,0.51,18.32,13.82
1960,Acne,High,Control,NA,5,9,63,0,NA,NA,NA,NA,14.65,NA,83.04,0.4,14.75,7.84
1962,Acsa,High,Control,NA,5,6,42,0,NA,NA,NA,NA,14.99,NA,66,0.38,13.25,10.78
1963,Acsa,High,Control,NA,5,9,63,0,NA,NA,NA,NA,8.47,NA,50,0.32,13.65,14.88
1974,Acru,High,Control,NA,5,3,21,0,0,100,0,-0.09,NA,5.21,38.01,0.2,11.29,6.22
1980,Acne,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,50.35,0.05,8.95,8.18
1983,Acru,High,Control,NA,5,6,42,0,3,100,3,0.06,NA,7.31,83.99,0.23,12.35,6.46
1985,Acsa,High,Control,NA,5,NA,63,1,NA,NA,NA,NA,NA,NA,78.44,0.51,19.16,13.74
1989,Acne,High,Control,NA,5,3,21,0,0,100,0,0.43,NA,5.38,53.02,0.25,12.02,7.86
1996,Acne,High,Control,NA,5,6,42,0,2,100,2,0.44,NA,6.73,77.7,0.48,15.77,13.67
1999,Acne,High,Control,NA,5,9,63,0,0,100,0,0.22,NA,6.08,51.44,0.39,14.47,8.52
2002,Acru,High,Control,NA,6,9,63,0,0,100,0,0.09,NA,6.53,76.71,0.46,15.47,12.39
2003,Acru,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,73,0.61,15.94,13.6
2006,Acne,High,Control,NA,6,NA,33,1,NA,NA,NA,NA,NA,NA,79,0.54,14.91,6.88
2015,Acne,High,Control,NA,6,3,21,0,NA,NA,NA,NA,11.54,NA,62,0.39,13.44,11.78
2026,Acru,High,Control,NA,6,3,21,0,NA,NA,NA,NA,16.68,NA,50.84,0.41,14.17,7.68
2028,Acne,High,Control,NA,6,6,42,0,NA,NA,NA,NA,12.27,NA,67,0.02,8.94,8.54
2036,Acru,High,Control,NA,6,6,42,0,NA,NA,NA,NA,13.46,NA,70.39,0.48,15.04,12.72
2039,Acru,High,Control,NA,6,9,63,0,NA,NA,NA,NA,11.56,NA,53.02,0.25,12.02,7.86
2048,Acru,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,78.35,0.32,13.55,7.82
2053,Acsa,High,Control,NA,6,3,21,0,0,100,0,0.53,NA,8.86,33,0.17,10.94,6.06
2072,Acsa,High,Control,NA,6,6,42,0,0,100,0,0.22,NA,11.32,48.91,0.09,9.91,12.23
2076,Acru,High,Control,NA,6,3,21,0,0,100,0,0.34,NA,6.09,83.04,0.4,14.75,7.84
2078,Acru,High,Control,NA,6,6,42,0,0,100,0,0.22,NA,4.73,76.97,0.47,15.63,12.96
2085,Acru,High,Control,NA,6,9,63,0,0,100,0,0.21,NA,5.64,38.01,0.2,11.29,6.22
2092,Acru,High,Control,NA,6,NA,20,1,NA,NA,NA,NA,NA,NA,38.01,0.2,11.29,6.22
2094,Acru,High,Control,NA,6,3,21,0,NA,NA,NA,NA,13.8,NA,89,0.13,11.32,6.97
2096,Acru,High,Control,NA,6,6,42,0,NA,NA,NA,NA,8.97,NA,38.01,0.2,11.29,6.22
2105,Acru,High,Control,NA,6,9,63,0,NA,NA,NA,NA,11.26,NA,75,0.33,12.91,10.44
2111,Acsa,High,Control,NA,6,9,63,0,0,100,0,0.33,NA,6.49,78.44,0.51,18.32,13.82
2117,Acru,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,31,0.16,11.02,8.59
2121,Acne,High,Control,NA,6,9,63,0,NA,NA,NA,NA,13.26,NA,78.44,0.51,18.32,13.82
2123,Acru,High,Control,NA,6,3,21,0,0,100,0,0.27,NA,5.98,38.01,0.2,11.29,6.22
2124,Acsa,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,28,0.23,11.57,6.42
2145,Acne,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,83.04,0.4,14.75,7.84
2149,Acru,High,Control,NA,6,6,42,0,0,94,0,0.21,NA,2.55,53,0.14,11.24,13.01
2151,Acru,High,Control,NA,6,9,63,0,1,100,1,0.07,NA,6.49,86.36,-0.04,9.7,4.5
2153,Acne,High,Control,NA,6,3,21,0,0,100,0,-0.02,NA,5.27,85.98,0.41,14.88,7.99
2155,Acru,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,64.1,0.01,8.27,5.91
2156,Acru,High,Control,NA,6,3,21,0,NA,NA,NA,NA,6.61,NA,65.09,0.36,13.41,12.5
2163,Acru,High,Control,NA,6,6,42,0,NA,NA,NA,NA,10.53,NA,78.44,0.51,18.32,13.82
2166,Acne,High,Control,NA,6,6,42,0,0,100,0,0.43,NA,6.67,85,0.12,11.05,7.25
2169,Acsa,High,Control,NA,6,3,21,0,NA,NA,NA,NA,8.88,NA,83.04,0.4,14.75,7.84
2171,Acsa,High,Control,NA,6,6,42,0,NA,NA,NA,NA,11.77,NA,71,0.28,12.46,13.05
2172,Acne,High,Control,NA,6,9,63,0,0,91,0,0.4,NA,6.67,49.66,0.24,12.13,7.87
2173,Acru,High,Control,NA,6,9,63,0,NA,NA,NA,NA,4.4,NA,44,0.17,10.75,5.78
2175,Acsa,High,Control,NA,6,9,63,0,NA,NA,NA,NA,13.72,NA,78.44,0.51,18.32,13.82
2177,Acsa,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,49.21,0.36,13.33,7.98
2193,Acne,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,65,0.25,12.15,12.75
2199,Acsa,High,Control,NA,6,3,21,0,0,100,0,-0.16,NA,9.51,37.5,0.17,10.65,6.71
2207,Acne,High,Control,NA,6,3,21,0,NA,NA,NA,NA,6.27,NA,87.63,0.41,16.96,8.38
2229,Acsa,High,Control,NA,6,6,42,0,0,100,0,0.36,NA,10.2,83,0.33,13.09,7.36
2233,Acne,High,Control,NA,6,6,42,0,NA,NA,NA,NA,14.46,NA,78.44,0.51,19.18,13.74
2244,Acne,High,Control,NA,6,9,63,0,NA,NA,NA,NA,13.38,NA,85.73,0.46,16.39,8
2246,Acru,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,38.42,0.2,11.43,6.34
2248,Acru,High,Control,NA,6,3,21,0,0,100,0,0.09,NA,4.55,39.25,0.24,11.77,7.69
2251,Acru,High,Control,NA,6,6,42,0,0,100,0,0.27,NA,6.17,65.03,0.5,14.49,12.47
2259,Acsa,High,Control,NA,6,9,63,0,0,100,0,0.43,NA,11.68,78.5,0.51,16.21,13.11
2261,Acne,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,83.04,0.4,14.75,7.84
2262,Acsa,High,Control,NA,6,NA,22,1,NA,NA,NA,NA,NA,NA,69,-0.04,8.45,7.22
2267,Acne,High,Control,NA,6,3,21,0,0,100,0,0.23,NA,5.43,79,0.22,11.96,4.49
2270,Acne,High,Control,NA,6,6,42,0,0,100,0,0.53,NA,6.34,86.99,0.46,21.31,8.43
2271,Acsa,High,Control,NA,6,3,21,0,NA,NA,NA,NA,13.53,NA,81.87,0.27,13.28,8.28
2272,Acsa,High,Control,NA,6,6,42,0,NA,NA,NA,NA,15.49,NA,79,0.57,15.27,6.26
2276,Acru,High,Control,NA,6,9,63,0,0,100,0,0,NA,10.31,72,0.11,10.56,12.71
2279,Acru,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,64.89,0.5,14.41,12.7
2294,Acne,High,Control,NA,6,9,63,0,0,100,0,0.4,NA,5.13,88,0.13,11.19,4.69
2295,Acru,High,Control,NA,6,3,21,0,NA,NA,NA,NA,7.11,NA,94,0.41,17.12,8.69
2298,Acru,High,Control,NA,6,6,42,0,NA,NA,NA,NA,8.36,NA,83.04,0.4,14.75,7.84
2302,Acne,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,38.08,0.19,11.41,6.45
2310,Acru,High,Control,NA,6,9,63,0,NA,NA,NA,NA,10.57,NA,83.04,0.4,14.75,7.84
2316,Acru,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,38.01,0.2,11.29,6.22
2317,Acru,High,Control,NA,6,3,21,0,1,100,1,0.17,NA,4.16,83.04,0.4,14.75,7.84
2335,Acne,High,Control,NA,6,3,21,0,NA,NA,NA,NA,15.14,NA,72,0.68,14.16,5.26
2340,Acsa,High,Control,NA,6,9,63,0,NA,NA,NA,NA,16.4,NA,61.48,-0.05,7.34,6.33
2341,Acru,High,Control,NA,6,6,42,0,0,100,0,0.28,NA,5.73,83.67,0.52,17.99,15.82
2344,Acsa,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,83.9,0.24,12.52,6.92
2345,Acsa,High,Control,NA,6,3,21,0,0,100,0,0.4,NA,9.37,78.44,0.51,18.32,13.82
2348,Acne,High,Control,NA,6,6,42,0,NA,NA,NA,NA,11.12,NA,38.01,0.2,11.29,6.22
2351,Acsa,High,Control,NA,6,6,42,0,2,100,2,0.36,NA,9.61,35,0.11,9.97,5.03
2354,Acne,High,Control,NA,6,9,63,0,NA,NA,NA,NA,13.46,NA,38.01,0.2,11.29,6.22
2366,Acsa,High,Control,NA,6,9,63,0,0,100,0,-0.01,NA,8.98,78.44,0.51,18.32,13.82
2367,Acne,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,87.11,0.45,17.51,8.44
2370,Acru,High,Control,NA,6,9,63,0,0,100,0,0.23,NA,9.36,77.5,0.5,16.04,13.67
2372,Acru,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,38.01,0.2,11.29,6.22
2376,Acne,High,Control,NA,6,3,21,0,0,99,0,0.44,NA,4.79,38.01,0.2,11.29,6.22
2377,Acsa,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,78.44,0.51,18.32,13.82
2397,Acne,High,Control,NA,6,6,42,0,0,100,0,0.27,NA,6.42,70,0.32,13.74,17.74
2398,Acne,High,Control,NA,6,9,63,0,1,100,1,0.13,NA,5.41,78.44,0.51,18.32,13.82
2399,Acne,High,Control,NA,6,NA,63,1,NA,NA,NA,NA,NA,NA,76,0.07,9.93,6.48
1,Acne,Low,Large,9,1,3,21,0,NA,NA,NA,NA,11.2,NA,14.67,0.38,14.98,12.11
3,Acru,Low,Large,2,1,3,21,0,NA,NA,NA,NA,9.5,NA,0.69,-0.03,2.95,8.54
6,Acne,Low,Large,10,1,9,63,0,NA,NA,NA,NA,7.36,NA,0,0.26,10.68,11.85
9,Acru,Low,Large,1,1,3,21,0,NA,NA,NA,NA,8.31,NA,0,-0.01,6.13,5.16
11,Acru,Low,Large,3,1,6,42,0,50,100,50,0.12,NA,2.7,0.8,0.05,7.07,9.57
13,Acne,Low,Large,11,1,6,42,0,77,100,77,0.01,NA,4.86,0.78,0.39,11.83,10.82
16,Acsa,Low,Large,5,1,3,21,0,NA,NA,NA,NA,12.9,NA,0.6,-0.02,5.69,7.43
